Location,Capacity_x_x,1-Sep-08,2-Sep-08,3-Sep-08,4-Sep-08,5-Sep-08,6-Sep-08,7-Sep-08,8-Sep-08,9-Sep-08,Capacity_y_x,10-Sep-08,11-Sep-08,12-Sep-08,13-Sep-08,14-Sep-08,15-Sep-08,16-Sep-08,17-Sep-08,18-Sep-08,Capacity_x_y,19-Sep-08,20-Sep-08,21-Sep-08,22-Sep-08,23-Sep-08,24-Sep-08,25-Sep-08,26-Sep-08,27-Sep-08,Capacity_y_y,28-Sep-08,29-Sep-08,30-Sep-08,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,527","4,188","4,184","4,180","4,194","4,189","4,188","4,185","4,192","4,190","4,527","4,184","4,187","4,196","4,194","4,193","4,182","4,166","4,158","4,142","4,527","4,133","4,132","4,131","4,137","4,119","4,111","4,113","4,114","4,111","4,527","4,108","4,090",0,,"4,158"
Central Mississippi Correctional Facility,"3,665","3,641","3,649","3,623","3,587","3,602","3,602","3,604","3,591","3,584","3,665","3,600","3,591","3,569","3,570","3,570","3,561","3,538","3,552","3,548","3,665","3,552","3,552","3,554","3,586","3,596","3,618","3,612","3,601","3,598","3,665","3,598","3,631",0,,"3,589"
South Mississippi Correctional Institution,"3,204","3,117","3,109","3,121","3,120","3,110","3,108","3,109","3,104","3,082","3,204","3,078","3,068","3,074","3,074","3,072","3,061","3,068","3,080","3,088","3,204","3,104","3,103","3,102","3,097","3,087","3,080","3,102","3,093","3,091","3,204","3,090","3,099",0,,"3,093"
County Jails,"1,690","2,097","2,114","2,165","2,176","2,206","2,206","2,206","2,209","2,219","1,690","2,236","2,232","2,231","2,231","2,231","2,230","2,223","2,205","2,212","1,690","2,203","2,203","2,203","2,186","2,201","2,208","2,227","2,256","2,256","1,690","2,256","2,213",0,,"2,208"
COMMUNITY WORK CENTERS,"1,848","1,782","1,769","1,762","1,778","1,750","1,751","1,751","1,785","1,789","1,848","1,782","1,782","1,742","1,741","1,742","1,790","1,802","1,802","1,816","1,848","1,749","1,742","1,742","1,797","1,796","1,801","1,812","1,792","1,790","1,848","1,788","1,805",0,,"1,777"
Alcorn Satellite Facility,92,90,89,89,92,86,86,86,89,92,92,91,91,85,84,84,91,91,89,92,92,90,90,90,91,90,90,90,88,88,92,88,90,0,,89
Bolivar Satellite Facility,102,101,101,101,101,102,102,102,102,101,102,98,101,99,99,99,100,100,100,98,102,91,90,90,100,99,99,99,97,97,102,97,99,0,,99
Forrest Satellite Facility,96,92,92,92,94,93,93,94,95,95,96,95,94,90,90,90,92,92,96,96,96,86,86,86,93,96,95,94,94,94,96,94,96,0,,93
George Satellite Facility,102,102,102,99,102,96,96,97,101,101,102,101,100,97,97,97,100,101,102,101,102,97,96,96,98,99,100,102,101,101,102,101,100,0,,99
Harrison Satellite Facility,102,99,97,97,97,95,95,94,101,99,102,97,96,95,95,95,95,95,94,101,102,99,98,98,100,102,101,102,101,101,102,101,101,0,,98
