"RACE","MALE","FEMALE","TOTAL","PERCENT"
"WHITE","6642","1073","7715","36.84%"
"BLACK","12303","619","12922","61.70%"
"HISPANIC","183","18","201","0.96%"
"OTHER","84","10","94","0.45%"
"UNKNOWN","7","3","10","0.05%"
"TOTAL","19219","1723","20942","100.00%"
