"Classification","Female Classification","Percent"
"Minimum-Community","253","14.68%"
"Minimum-Non -Community","370","21.47%"
"Medium","685","39.76%"
"Close","141","8.18%"
"DR","1","0.06%"
"Unclassified","273","15.84%"
"Total","1723","100.00%"
