"Classification","Male Classification","Percent"
"Minimum-Community","1433","7.46%"
"Minimum-Non -Community","2961","15.41%"
"Medium","10817","56.28%"
"Close","2744","14.28%"
"DR","41","0.21%"
"Unclassified","1223","6.36%"
"Total","19219","100.00%"
