"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum-Community","808","607","4","13","1","1433"
"Minimum-Non -Community","1647","1278","25","10","1","2961"
"Medium","7026","3624","120","46","1","10817"
"Close","2124","597","16","7","0","2744"
"DR","23","16","1","1","0","41"
"Unclassified","675","520","17","7","4","1223"
"Total","12303","6642","183","84","7","19219"
