"OFFENSE","Black","White","Hispanic","Other","Unknown","Total","Percent"
"DRUG","126","437","8","4","0","575","33.37%"
"NON-VIOLENT","150","260","4","3","1","418","24.26%"
"SEX","13","56","1","0","0","70","4.06%"
"VIOLENT","329","319","5","3","2","658","38.19%"
"UNAVAILABLE","1","1","0","0","0","2","0.12%"
"Total","619","1073","18","10","3","1723","100.00%"
