"Sentence Length","Male and Female","Percent"
"Less than 1 year","453","2.16%"
"1-2  years","1166","5.57%"
"3-5  years","3586","17.12%"
"6-10  years","5028","24.01%"
"11-20 years","5276","25.19%"
"21-30  years","2032","9.70%"
"Greater than 30 Years","1201","5.73%"
"Life","2157","10.30%"
"Death","43","0.21%"
"Total","20942","100.00%"
