"OFFENSE","Black","White","Hispanic","Other","Unknown","Total","Percent"
"DRUG","2277","1481","50","22","2","3832","19.94%"
"NON-VIOLENT","1795","1411","27","17","0","3250","16.91%"
"SEX","1337","1401","58","16","0","2812","14.63%"
"VIOLENT","6887","2344","48","29","5","9313","48.46%"
"UNAVAILABLE","7","5","0","0","0","12","0.06%"
"Total","12303","6642","183","84","7","19219","100.00%"
