"OFFENSE","MALE","FEMALE","TOTAL","PERCENT"
"DRUG","3831","575","4406","21.04%"
"NON-VIOLENT","3251","418","3669","17.52%"
"SEX","2812","70","2882","13.76%"
"VIOLENT","9313","658","9971","47.61%"
"UNAVAILABLE","12","2","14","0.07%"
"Total","19219","1723","20942","100.00%"
