"Male","Black","White","Hispanic","Other","Unknown","Total","Percent"
"Less than 1 year","127","195","3","1","1","327","1.70%"
"1-2  years","542","408","13","5","2","970","5.05%"
"3-5  years","1796","1279","28","23","1","3127","16.27%"
"6-10  years","2808","1733","52","18","1","4612","24.00%"
"11-20 years","3268","1635","47","23","2","4975","25.89%"
"21-30  years","1362","560","18","6","","1946","10.13%"
"Greater than 30 Years","877","281","8","3","","1169","6.08%"
"Life","1500","534","13","0","4","2051","10.67%"
"Death","23","17","1","0","1","42","0.22%"
"Total","12303","6642","183","79","12","19219","100.00%"
