"Classification","Male and Female","Percent"
"Minimum-Community","1683","8.04%"
"Minimum-Non -Community","3334","15.92%"
"Medium","11504","54.93%"
"Close","2885","13.78%"
"DR","42","0.20%"
"Unclassified","1494","7.13%"
"Total","20942","100.00%"
