"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","8,592","20.66%"
"Probation - Compact","1,407","3.38%"
"Probation - Nonadjudicated","4,185","10.06%"
"Probation - Post Release","16,578","39.86%"
"PROBATION TOTAL","30,762","73.96%"
"Parole","7,240","17.41%"
"Parole - Compact","534","1.28%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","7,774","18.69%"
"Intensive Supervision Program - Court","1,065","2.56%"
"Intensive Supervision Program - Prison","424","1.02%"
"Earned Release Supervision","1,544","3.71%"
"Medical Release","22",".05%"
"COMMUNITY INMATE TOTAL","3,055","7.35%"
"TOTAL","41,591","100.00%"
