"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","8,932","22.50%"
"Probation - Compact","1,313","3.31%"
"Probation - Nonadjudicated","4,164","10.49%"
"Probation - Post Release","15,506","39.05%"
"PROBATION TOTAL","29,915","75.34%"
"Parole","6,172","15.54%"
"Parole - Compact","388","0.98%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,560","16.52%"
"Intensive Supervision Program - Court","1,065","2.68%"
"Intensive Supervision Program - Prison","519","1.31%"
"Earned Release Supervision","1,623","4.09%"
"Medical Release","24",".06%"
"COMMUNITY INMATE TOTAL","3,231","8.14%"
"TOTAL","39,706","100.00%"
