"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","17,551","56.31%"
"Probation - Compact","1,235","3.96%"
"Probation - Nonadjudicated","1,870","6.00%"
"Probation - Post Release","4,600","14.76%"
"PROBATION TOTAL","25,256","81.03%"
"Parole","1,975","6.34%"
"Parole - Compact","504","1.62%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,479","7.95%"
"Intensive Supervision Program - Court","1,322","4.24%"
"Intensive Supervision Program - Prison","309","0.99%"
"Earned Release Supervision","1,790","5.74%"
"Medical Release","11","0.04%"
"COMMUNITY INMATE TOTAL","3,432","11.01%"
"TOTAL","31,167","100.00%"
