"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,476","29.47%"
"Probation - Compact","995","2.80%"
"Probation - Nonadjudicated","4,121","11.59%"
"Probation - Post Release","10,313","29.01%"
"PROBATION TOTAL","25,905","72.86%"
"Parole","6,286","17.68%"
"Parole - Compact","319","0.90%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,605","18.58%"
"Intensive Supervision Program - Court","1,146","3.22%"
"Intensive Supervision Program - Prison","426","1.20%"
"Earned Release Supervision","1,428","4.02%"
"Medical Release","44",".12%"
"COMMUNITY INMATE TOTAL","3,044","8.56%"
"TOTAL","35,554","100.00%"
