"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,087","19.71%"
"Probation - Compact","1,353","2.94%"
"Probation - Nonadjudicated","4,484","9.73%"
"Probation - Post Release","18,137","39.35%"
"TVC Probation","142","0.31%"
"PROBATION TOTAL","33,203","72.03%"
"Parole","9,669","20.98%"
"Parole - Compact","525","1.14%"
"Parole - Suspension","0","0.00%"
"TVC Parole","235","0.51%"
"PAROLE TOTAL","10,429","22.62%"
"Intensive Supervision Program - Court","1,008","2.19%"
"Intensive Supervision Program - Prison","320","0.69%"
"Earned Release Supervision","1,113","2.41%"
"Medical Release","20","0.04%"
"TVC","3","0.01%"
"COMMUNITY INMATE TOTAL","2,464","6.69%"
"TOTAL","46,096","100.00%"
