"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,523","23.90%"
"Probation - Compact","1,125","2.82%"
"Probation - Nonadjudicated","4,243","10.65%"
"Probation - Post Release","15,216","38.19%"
"PROBATION TOTAL","30,107","75.57%"
"Parole","6,241","15.67%"
"Parole - Compact","274","0.69%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,515","16.35%"
"Intensive Supervision Program - Court","1,096","2.75%"
"Intensive Supervision Program - Prison","470","1.18%"
"Earned Release Supervision","1,624","4.08%"
"Medical Release","27",".07%"
"COMMUNITY INMATE TOTAL","3,217","8.08%"
"TOTAL","39,839","100.00%"
