"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","8,743","21.44%"
"Probation - Compact","1,371","3.36%"
"Probation - Nonadjudicated","4,129","10.12%"
"Probation - Post Release","16,342","40.07%"
"PROBATION TOTAL","30,585","74.99%"
"Parole","6,520","15.99%"
"Parole - Compact","456","1.12%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,976","17.11%"
"Intensive Supervision Program - Court","1,072","2.63%"
"Intensive Supervision Program - Prison","477","1.17%"
"Earned Release Supervision","1,651","4.05%"
"Medical Release","22",".05%"
"COMMUNITY INMATE TOTAL","3,222","7.90%"
"TOTAL","40,783","100.00%"
