"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,402","15.84%"
"Probation - Compact","1,344","3.94%"
"Probation - Nonadjudicated","3,333","9.78%"
"Probation - Post Release","13,752","40.33%"
"TVC Probation","70","0.21%"
"PROBATION TOTAL","23,901","70.10%"
"Parole","8,178","23.99%"
"Parole - Compact","601","1.76%"
"Parole - Suspension","0","0.00%"
"TVC Parole","116","0.34%"
"PAROLE TOTAL","8,895","26.09%"
"Intensive Supervision Program - Court","657","1.93%"
"Intensive Supervision Program - Prison","43","0.13%"
"Earned Release Supervision","578","1.70%"
"Medical Release","12","0.04%"
"FTR- Monitoring","5","0.01%"
"Conditional Release","4","0.012%"
"COMMUNITY INMATE TOTAL","1,299","3.81%"
"TOTAL","34,095","100.00%"
