"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","17,712","59.03%"
"Probation - Compact","1,211","4.04%"
"Probation - Nonadjudicated","1,569","5.23%"
"Probation - Post Release","3,488","11.63%"
"PROBATION TOTAL","23,980","79.92%"
"Parole","1,977","6.59%"
"Parole - Compact","502","1.67%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,479","8.26%"
"Intensive Supervision Program - Court","1,282","4.27%"
"Intensive Supervision Program - Prison","379","1.26%"
"Earned Release Supervision","1,877","6.26%"
"Medical Release","7","0.02%"
"COMMUNITY INMATE TOTAL","3,545","11.82%"
"TOTAL","30,004","100.00%"
