"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","8,702","21.13%"
"Probation - Compact","1,433","3.48%"
"Probation - Nonadjudicated","4,158","10.10%"
"Probation - Post Release","16,484","40.03%"
"PROBATION TOTAL","30,777","74.73%"
"Parole","6,837","16.60%"
"Parole - Compact","506","1.23%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","7,343","17.83%"
"Intensive Supervision Program - Court","1,043","2.53%"
"Intensive Supervision Program - Prison","387","0.94%"
"Earned Release Supervision","1,611","3.91%"
"Medical Release","23",".06%"
"COMMUNITY INMATE TOTAL","3,064","7.44%"
"TOTAL","41,184","100.00%"
