"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of  April 1, 2004","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","18,744","68.84%","","",""
"Compact Probation","1,051","3.86%","","",""
"Nonadjudicated","425","1.56%","","",""
"Post Release","885","3.25%","","",""
"","21,105","77.51%","Probation Total","",""
"Parole","1,934","7.10%","","",""
"Compact Parole","405","1.49%","","",""
"Suspension","0","0.00%","","",""
"","2,339","8.59%","Parole Total","",""
"Intensive Supervision Program - Court","1,979","7.27%","","",""
"Intensive Supervision Program - Prison","581","2.13%","","",""
"Earned Release Supervision","1,224","4.50%","","",""
"Medical Release","0","0.00%","","",""
"","3,784","13.90%","Community Inmate Total","",""
"TOTAL","27,228","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,395","58.78%","2,289","51.31%","10,684","57.00%"
"White
5,660","39.63%","2,113","47.37%","7,773","41.47%"
"Hispanic
73","0.51%","13","0.29%","86","0.46%"
"Native American
20","0.14%","4","0.09%","24","0.13%"
"Asian
33","0.23%","15","0.34%","48","0.26%"
"Data Unavailable
102","0.71%","27","0.61%","129","0.69%"
"TOTAL
14,283","100.00%","4,461","100.00%","18,744","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,380","12.71%","","","",""
"Property
10,033","53.58%","","","",""
"Drug
6,313","33.71%","","","",""
"TOTAL
18,726","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,125","67.16%","135","52.12%","1,260","65.15%"
"White
533","31.82%","120","46.33%","653","33.76%"
"Hispanic
11","0.66%","3 0","1.16%","14","0.72%"
"Native American
2","0.12%","","0.00%","22","0.10%"
"Asian
1","0.06%","1","0.39%","","0.10%"
"Data Unavailable
3","0.18%","0","0.00%","3","0.16%"
"TOTAL
1,675","99.82%","259","100.00%","1,934","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
535","27.72%","","","",""
"Property
674","34.92%","","","",""
"Drug
721","37.36%","","","",""
"TOTAL
1,930","100.00%","","","",""
