"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,952","38.87%"
"Probation - Compact","1,262","4.48%"
"Probation - Nonadjudicated","2,779","9.86%"
"Probation - Post Release","7,699","27.32%"
"PROBATION TOTAL","22,692","80.53%"
"Parole","2,088","7.41%"
"Parole - Compact","469","1.66%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,557","9.07%"
"Intensive Supervision Program - Court","920","3.26%"
"Intensive Supervision Program - Prison","264","0.94%"
"Earned Release Supervision","1,733","6.15%"
"Medical Release","12","0.04%"
"COMMUNITY INMATE TOTAL","2,929","10.39%"
"TOTAL","28,178","100.00%"
