"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,697","28.81%"
"Probation - Compact","1,040","2.80%"
"Probation - Nonadjudicated","4,379","11.79%"
"Probation - Post Release","11,224","30.23%"
"PROBATION TOTAL","27,340","73.63%"
"Parole","6,311","17.00%"
"Parole - Compact","353","0.95%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,664","17.95%"
"Intensive Supervision Program - Court","1,181","3.18%"
"Intensive Supervision Program - Prison","452","1.22%"
"Earned Release Supervision","1,455","3.92%"
"Medical Release","39",".11%"
"COMMUNITY INMATE TOTAL","3,127","8.42%"
"TOTAL","37,131","100.00%"
