"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of February 1, 2002","","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","10,718","54.25%","","",""
"Compact Probation","1,059","5.36%","","",""
"Nonadjudicated","1,862","9.42%","","",""
"Post Release","2,053","10.39%","","",""
"","15,692","79.43%","Probation Total","",""
"Parole","1,315","6.66%","","",""
"Compact Parole","424","2.15%","","",""
"Suspension","8","0.04%","","",""
"","1,747","8.84%","Parole Total","",""
"Intensive Supervision Program - Court","1,032","5.22%","","",""
"Intensive Supervision Program - Prison","303","1.53%","","",""
"Earned Release Supervision","981","4.97%","","",""
"Medical Release","1","0.01%","","",""
"","2,317","11.73%","Community Inmate Total","",""
"TOTAL","19,756","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,329","59.95%","1,924","55.49%","9,253","58.97%"
"White
4,694","38.40%","1,508","43.50%","6,202","39.52%"
"Hispanic
42","0.34%","14","0.40%","56","0.36%"
"Native American
27","0.22%","6","0.17%","33","0.21%"
"Asian
35","0.29%","15","0.43%","50","0.32%"
"Data Unavailable
98","0.80%","0","0.00%","98","0.62%"
"TOTAL
12,225","100.00%","3,467","100.00%","15,692","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,988","12.67%","","","",""
"Property
9,022","57.49%","","","",""
"Drug
4,682","29.84%","","","",""
"TOTAL
15,692","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,145","73.54%","110","57.89%","1,255","71.84%"
"White
399","25.63%","78","41.05%","477","27.30%"
"Hispanic
11","0.71%","","1.05%","13","0.74%"
"Native American
1","0.06%","2 0 0","0.00%","","0.06%"
"Asian
1","0.06%","","0.00%","11","0.06%"
"TOTAL
1,557","100.00%","190","100.00%","1,747","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
671","38.41%","","","",""
"Property
485","27.76%","","","",""
"Drug
591","33.83%","","","",""
"TOTAL
1,747","100.00%","","","",""
