"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF 
OFFENSES","PERCENT","AVERAGE SENTENCE 
LENGTH IN YEARS","AVERAGE AGE 
AT OFFENSE"
"Burglary","5","25.00%","3.80","16.56"
"Property","7","35.00%","1.17","16.61"
"Sale of Drugs","1","5.00%","15.00","16.46"
"Sex Offense","1","5.00%","Not Available","Not Available"
"Robbery","2","10.00%","2.00","15.20"
"Violent","4","20.00%","1.00","15.93"
