"RACE","","",""
"","MALE","FEMALE","TOTAL"
"White","2,701","598","3,299"
"Black","4,769","448","5,217"
"Hispanic","67","5","72"
"Other","33","4","37"
"Unknown Race","1","0","1"
"TOTAL","7,571","1,055","8,626"
