"FEMALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","46","79","1","1","127","1.68%"
"1 - 2 Years","117","163","1","2","283","3.74%"
"3 - 5 Years","184","264","1","1","450","5.94%"
"6 - 10 Years","80","66","2","0","148","1.95%"
"11 - 20 Years","14","14","0","0","28",".37%"
"21 -30 Years","1","0","0","0","1",".01%"
"Greater Than 30 Years","1","1","0","0","2",".03%"
"Life","1","7","0","0","8",".11%"
"Verification Pending","4","4","0","0","8",".11%"
"TOTAL","448","598","5","4","1,055","13.93%"
