"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1",".40%"
"0","0","0","0","29","11.65%"
"0","0","0","0","1",".40%"
"0","0","0","0","3","1.20%"
"0","0","0","0","18","7.23%"
"0","0","0","0","2",".80%"
"0","0","0","0","14","5.62%"
"0","0","0","0","11","4.42%"
"0","0","0","0","4","1.61%"
"0","0","0","0","1",".40%"
"0","0","0","0","33","13.25%"
"0","0","0","0","15","6.02%"
"0","0","0","0","3","1.20%"
"0","3","0","0","70","28.11%"
"0","0","0","0","31","12.45%"
"0","0","0","0","13","5.22%"
"1","1","0","1","263","100.00%"
