"COUNTY","OFFENDERS","PERCENT"
"Pearl River","0",".00%"
"Perry","0",".00%"
"Pike","1","5.00%"
"Pontotoc","0",".00%"
"Prentiss","0",".00%"
"Quitman","0",".00%"
"Rankin","0",".00%"
"Scott","0",".00%"
"Sharkey","0",".00%"
"Simpson","0",".00%"
"Smith","0",".00%"
"Stone","0",".00%"
"Sunflower","1","5.00%"
"Tallahatchie","1","5.00%"
"Tate","0",".00%"
"Tippah","0",".00%"
"Tishomingo","0",".00%"
"Tunica","0",".00%"
"Union","0",".00%"
"Walthall","0",".00%"
"Warren","1","5.00%"
"Washington","1","5.00%"
"Wayne","1","5.00%"
"Webster","0",".00%"
"Wilkinson","0",".00%"
"Winston","0",".00%"
"Yalobusha","0",".00%"
