"EMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"3","0","0","0","31","77.50%"
"0","0","0","0","2","5.00%"
"0","1","0","0","5","12.50%"
"0","0","0","0","2","5.00%"
"3","1","0","0","40","100.00%"
