"MALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","424","290","9","12","735","9.71%"
"1 - 2 Years","1,089","630","20","10","1,749","23.10%"
"3 - 5 Years","1,797","1,121","23","5","2,946","38.91%"
"6 - 10 Years","1,093","485","9","4","1,591","21.01%"
"11 - 20 Years","231","102","3","2","338","4.46%"
"21 -30 Years","54","18","2","0","74",".98%"
"Greater Than 30 Years","26","6","1","0","33",".44%"
"Life","37","19","0","0","56",".74%"
"Death","0","1","0","0","1",".01%"
"Verification Pending","19","29","0","0","48",".63%"
"TOTAL","4,770","2,701","67","33","7,571","100.00%"
