"MALES","","","",""
"OFFENSE CATEGORIES","BLACK","WHITE","HISPANIC","OTHER"
"BURGLARY","919","551","4","7"
"HOMICIDE/MANSLAUGHTER","96","46","0","1"
"PROPERTY","1,167","944","18","14"
"POSSESSION OF DRUGS","932","741","34","6"
"ROBBERY","381","80","0","0"
"SALE OF DRUGS","843","127","4","0"
"SEX OFFENSES","122","121","3","0"
"VIOLENT","309","91","4","6"
"TOTAL","4,769","2,701","67","34"
