"COUNTY","OFFENDERS","PERCENT"
"Pearl River","1",".40%"
"Perry","2",".80%"
"Pike","9","3.61%"
"Pontotoc","2",".80%"
"Prentiss","1",".40%"
"Quitman","0",".00%"
"Rankin","16","6.43%"
"Scott","3","1.20%"
"Sharkey","0",".00%"
"Simpson","4","1.61%"
"Smith","1",".40%"
"Stone","5","2.01%"
"Sunflower","10","4.02%"
"Tallahatchie","0",".00%"
"Tate","4","1.61%"
"Tippah","1",".40%"
"Tishomingo","0",".00%"
"Tunica","0",".00%"
"Union","3","1.20%"
"Walthall","0",".00%"
"Warren","3","1.20%"
"Washington","3","1.20%"
"Wayne","0",".00%"
"Webster","0",".00%"
"Wilkinson","0",".00%"
"Winston","2",".80%"
"Yalobusha","0",".00%"
