"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"18","48","1","0","1,548","17.95%"
"13","14","0","0","170","1.97%"
"222","281","1","2","2,649","30.71%"
"70","184","3","1","1,971","22.85%"
"15","10","0","1","487","5.65%"
"74","45","0","0","1,093","12.67%"
"0","3","0","0","249","2.89%"
"36","13","0","0","459","5.32%"
"448","598","5","4","8,626","100.00%"
