"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","1","0","0","3",".65%"
"1","1","0","0","7","1.53%"
"0","0","0","0","7","1.53%"
"0","1","0","0","1",".22%"
"30","5","0","0","343","74.73%"
"0","0","0","0","6","1.31%"
"2","2","0","0","36","7.84%"
"1","0","0","0","6","1.31%"
"0","0","0","0","2",".44%"
"0","0","0","0","3",".65%"
"0","0","0","0","1",".22%"
"0","2","0","0","4",".87%"
"0","0","0","0","10","2.18%"
"0","1","0","0","16","3.49%"
"0","0","0","0","1",".22%"
"1","0","0","0","13","2.83%"
"36","13","0","0","459","100.00%"
