"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","3","60.00%"
"0","0","0","0","1","20.00%"
"0","0","0","0","1","20.00%"
"0","0","0","0","5","100.00%"
