"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","1","40-49","1,759"
"15","0","50-59","538"
"16","5","60-69","68"
"17","14","70-79","28"
"18-19","229","80+","6"
"20-29","3,492","Verification Pending","0"
"30-39","2,486","TOTAL","8,626"
