"MALES","","","",""
"ROBBERY","BLACK","WHITE","HISPANIC","OTHER"
"Armed Carjacking","5","0","0","0"
"Armed Robbery","159","23","0","0"
"Carjacking - Strong Arm","5","0","0","0"
"Robbery","203","56","0","0"
"Strong Armed Robbery","9","1","0","0"
"TOTAL","381","80","0","0"
