"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1",".80%"
"5","1","0","0","47","37.60%"
"1","0","0","0","1",".80%"
"0","0","0","0","1",".80%"
"0","0","0","0","6","4.80%"
"0","1","0","0","17","13.60%"
"0","0","0","0","1",".80%"
"0","0","0","0","6","4.80%"
"0","0","0","0","3","2.40%"
"0","1","0","0","2","1.60%"
"0","0","0","0","4","3.20%"
"3","3","0","0","29","23.20%"
"0","1","0","0","6","4.80%"
"0","0","0","0","1",".80%"
"9","7","0","0","125","100.00%"
