"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"4","12","0","0","56","2.11%"
"1","0","0","0","8","0.30%"
"0","2","0","0","2","0.08%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","2","0.08%"
"0","2","0","0","47","1.77%"
"0","0","0","0","3","0.11%"
"0","0","0","0","2","0.08%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"4","2","0","0","13","0.49%"
"0","0","0","0","6","0.23%"
"0","0","0","0","3","0.11%"
"3","3","1","0","25","0.94%"
"5","8","0","0","44","1.66%"
"0","0","0","0","2","0.08%"
"5","11","0","0","37","1.40%"
"0","0","0","0","4","0.15%"
"0","0","0","0","5","0.19%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","12","0.45%"
"0","0","0","0","1","0.04%"
"0","0","0","0","6","0.23%"
"1","1","0","0","3","0.11%"
"0","2","0","1","6","0.23%"
"1","1","0","0","3","0.11%"
"11","19","0","0","94","3.55%"
"1","0","0","0","10","0.38%"
"0","1","0","0","3","0.11%"
"0","0","0","0","1","0.04%"
"3","2","0","0","6","0.23%"
"0","1","0","0","2","0.08%"
"21","23","0","0","93","3.51%"
"0","0","0","0","1","0.04%"
"0","0","0","0","12","0.45%"
