"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Simple Assault - Police Officer","45","17","1","0"
"Smuggling Contraband into Prison","1","0","0","0"
"Stolen Property","2","0","0","0"
"Traffic Offenses","1","1","0","0"
"Transport Interstate Stolen Property","0","0","0","0"
"Unauthorized Use of Vehicle","0","2","0","0"
"Using Explosive Device","0","1","0","0"
"Uttering Forgery","111","78","1","0"
"Vehicle Theft","55","38","0","0"
"Violation/Quarantine","2","0","0","0"
"Weapon Offense","6","2","0","0"
"Worthless Checks","12","12","0","0"
"TOTAL","1,167","944","18","14"
