"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"9","20","1","0","677","43.73%"
"2","14","0","0","386","24.94%"
"0","0","0","0","4",".26%"
"0","0","0","0","17","1.10%"
"4","6","0","0","239","15.44%"
"0","2","0","0","42","2.71%"
"0","1","0","0","33","2.13%"
"0","0","0","0","12",".78%"
"0","0","0","0","1",".06%"
"0","0","0","0","2",".13%"
"3","3","0","0","131","8.46%"
"0","2","0","0","4",".26%"
"18","48","1","0","1,548","100.00%"
