"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","0","40-49","624"
"15","0","50-59","176"
"16","0","60-69","12"
"17","1","70-79","6"
"18-19","40","80+","0"
"20-29","1,249","Verification Pending","0"
"30-39","956","TOTAL","3,064"
