"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","9","39.13%"
"0","0","0","0","3","13.04%"
"0","0","0","0","1","4.35%"
"0","0","0","0","6","26.09%"
"1","0","0","0","4","17.39%"
"1","0","0","0","23","100.00%"
