"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1",".38%"
"0","0","0","0","43","16.41%"
"1","0","0","0","1","0.38%"
"0","0","0","0","9","3.44%"
"0","0","0","0","1",".38%"
"0","0","0","0","20","7.63%"
"0","0","0","0","11","4.20%"
"0","0","0","0","5","1.91%"
"0","0","0","0","34","12.98%"
"0","0","0","0","9","3.44%"
"0","0","0","0","19","7.25%"
"0","0","0","0","1",".38%"
"0","1","0","0","66","25.19%"
"0","0","0","0","33","12.60%"
"0","0","0","0","9","3.44%"
"0","0","0","1","1",".38%"
"1","1","0","1","263","100.00%"
