"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","11","31.43%"
"0","0","0","0","1","2.86%"
"0","0","0","0","1","2.86%"
"0","0","0","0","22","62.86%"
"1","0","0","0","35","100.00%"
