"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","0","40-49","61"
"15","0","50-59","21"
"16","0","60-69","11"
"17","0","70-79","4"
"18-19","7","80+","0"
"20-29","88","Verification Pending","0"
"30-39","71","TOTAL","263"
