"COMBINED 
  
  
  
SENTENCE LENGTH 
MALE AND FEMALE 
PERCENT","",""
"Less than 1 year","682","7.75%"
"1 - 2 Years","2,170","24.67%"
"3 - 5 Years","3,713","42.21%"
"6 - 10 Years","1,622","18.44%"
"11 - 20 Years","312","3.55%"
"21 -30 Years","97","1.10%"
"Greater Than 30 Years","41","0.47%"
"Life","70","0.80%"
"Verification Pending","89","1.01%"
"TOTAL","8,796","100.00%"
