"MALES","","","",""
"ROBBERY","BLACK","WHITE","HISPANIC","OTHER"
"Armed Carjacking","4","1","0","0"
"Armed Robbery","152","26","0","0"
"Carjacking-Strong Arm","4","1","0","0"
"Robbery","217","48","0","0"
"TOTAL","377","76","0","0"
