"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","2","4.88%"
"0","0","0","0","1","2.44%"
"1","0","0","0","29","70.73%"
"0","0","0","0","6","14.63%"
"0","0","0","0","1","2.44%"
"0","0","0","0","2","4.88%"
"1","0","0","0","41","100.00%"
