"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"3","4","0","0","17","0.61%"
"1","0","0","0","1","0.04%"
"2","4","0","0","9","0.32%"
"1","0","0","0","4","0.14%"
"1","2","0","0","3","0.11%"
"1","0","0","0","6","0.22%"
"10","30","0","0","444","16.02%"
"0","1","0","0","4","0.14%"
"0","0","0","0","1","0.04%"
"0","1","0","0","3","0.11%"
"0","1","0","0","5","0.18%"
"0","0","0","0","1","0.04%"
"0","1","0","0","2","0.07%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"1","8","0","0","18","0.65%"
"0","0","0","0","2","0.07%"
"0","0","0","0","3","0.11%"
"2","1","0","0","41","1.48%"
"0","0","0","0","7","0.25%"
"0","1","0","0","36","1.30%"
"0","1","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"1","1","0","0","91","3.28%"
"1","11","0","0","34","1.23%"
"0","0","0","0","1","0.04%"
"1","1","0","0","23","0.83%"
"1","6","0","0","133","4.80%"
"0","0","0","0","1","0.04%"
"43","15","1","1","187","6.75%"
"2","3","0","0","58","2.09%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
