"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1","0.38%"
"0","0","0","0","43","16.35%"
"1","0","0","0","1","0.38%"
"0","0","0","0","9","3.42%"
"0","0","0","0","1","0.38%"
"0","0","0","0","20","7.60%"
"0","0","0","0","11","4.18%"
"0","0","0","0","5","1.90%"
"0","0","0","0","34","12.93%"
"0","0","0","0","19","7.22%"
"0","0","0","0","9","3.42%"
"0","0","0","0","1","0.38%"
"0","1","0","0","66","25.10%"
"0","0","0","0","33","12.55%"
"1","0","0","0","10","3.80%"
"2","1","0","0","263","100.00%"
