"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","5","55.56%"
"0","0","0","0","2","22.22%"
"0","0","0","0","1","11.11%"
"0","0","0","0","1","11.11%"
"0","0","0","0","9","100.00%"
