"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","0","40-49","567"
"15","0","50-59","152"
"16","0","60-69","23"
"17","1","70-79","4"
"18-19","37","80+","1"
"20-29","1,382","Verification Pending","0"
"30-39","923","TOTAL","3,090"
