"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","1","0","0","3","0.63%"
"0","0","0","0","6","1.26%"
"27","3","0","0","364","76.15%"
"0","0","0","0","6","1.26%"
"0","0","0","0","1","0.21%"
"0","0","0","0","1","0.21%"
"1","1","0","0","31","6.49%"
"0","0","0","0","3","0.63%"
"0","0","0","0","4","0.84%"
"0","0","0","0","2","0.42%"
"0","0","0","0","1","0.21%"
"0","0","0","0","17","3.56%"
"0","0","0","0","2","0.42%"
"1","0","0","0","16","3.35%"
"1","0","0","0","3","0.63%"
"2","0","0","0","18","3.77%"
"32","5","0","0","478","100.00%"
