"MALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","316","248","6","6","576","7.35%"
"1 - 2 Years","1,177","711","14","9","1,911","24.40%"
"3 - 5 Years","1,986","1,262","25","4","3,277","41.84%"
"6 - 10 Years","1,074","429","8","2","1,513","19.32%"
"11 - 20 Years","207","81","1","1","290","3.70%"
"21 -30 Years","68","21","0","1","90","1.15%"
"Greater Than 30 Years","25","15","0","0","40","0.51%"
"Life","38","24","0","0","62","0.79%"
"Verification Pending","41","32","0","1","74","0.94%"
"TOTAL","4,932","2,823","54","24","7,833","100.00%"
