"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"20","57","1","0","1,528","17.37%"
"20","6","0","0","196","2.23%"
"190","271","1","4","2,771","31.50%"
"86","170","1","1","1,995","22.68%"
"12","5","0","0","470","5.34%"
"54","24","0","0","1,095","12.45%"
"2","1","0","0","263","2.99%"
"32","5","0","0","478","5.43%"
"416","539","3","5","8,796","100.00%"
