"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF  PERCENT  AVERAGE SENTENCE  AVERAGE AGE 
OFFENSES 
LENGTH IN YEARS 
AT OFFENSE","","",""
"Burglary","1,528","17.37%","4.81","27.24"
"Homicide/Manslaughter","196","2.23%","23.06","29.36"
"Other Property","2,771","31.50%","3.10","33.96"
"Possession of Drugs","1,995","22.68%","4.02","31.23"
"Robbery","470","5.34%","8.20","25.37"
"Sale of Drugs","1,095","12.45%","6.17","29.86"
"Sex Offense","263","2.99%","8.53","31.46"
"Violent","478","5.43%","6.55","28.76"
