"RACE","","",""
"MALE 
FEMALE 
TOTAL","","",""
"White","2,823","539","3,362"
"Black","4,932","416","5,348"
"Hispanic","54","3","57"
"Other","19","3","22"
"Unknown Race","5","1","6"
"Unknown Gender","0","1","1"
"TOTAL","7,833","963","8,796"
