"MALES","","","",""
"VIOLENT","BLACK","WHITE","HISPANIC","OTHER"
"Aggravated Assault Police Strong Arm","1","0","1","0"
"Aggravated Assault Police Weapon","1","0","0","0"
"Aggravated Assault","19","9","0","0"
"Arson","0","6","0","0"
"Mayhem","0","1","0","0"
"Simple Assault","0","2","0","0"
"TOTAL","21","18","1","0"
