"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1","0.04%"
"52","65","0","0","331","11.95%"
"2","6","0","0","108","3.90%"
"0","0","0","0","1","0.04%"
"0","3","0","0","9","0.32%"
"6","9","0","0","41","1.48%"
"190","271","1","4","2,771","100.00%"
