"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","5","0","0","185","12.11%"
"0","4","0","0","33","2.16%"
"2","5","0","0","42","2.75%"
"0","0","1","0","31","2.03%"
"0","0","0","0","2","0.13%"
"3","6","0","0","353","23.10%"
"0","0","0","0","17","1.11%"
"11","34","0","0","616","40.31%"
"0","0","0","0","6","0.39%"
"3","3","0","0","240","15.71%"
"0","0","0","0","3","0.20%"
"20","57","1","0","1,528","100.00%"
