"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"0","1","0","0","22","9.17%"
"0","0","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"0","2","0","0","3","1.25%"
"0","0","0","0","1","0.42%"
"0","0","0","0","3","1.25%"
"0","0","0","0","10","4.17%"
"0","1","0","0","5","2.08%"
"0","0","0","0","1","0.42%"
"0","0","0","0","4","1.67%"
"3","0","0","0","13","5.42%"
"0","0","0","0","5","2.08%"
"0","0","0","0","1","0.42%"
"5","3","0","0","23","9.58%"
"0","0","0","0","2","0.83%"
"1","1","0","0","4","1.67%"
"15","19","0","0","240","100.00%"
